variable,model,experiment,dataset,dataset_type,product_type,temporal_resolution,interpolation,data_path,origin_path,start_file_exists,final_file_exists,earliest_date,latest_date,script
t2mx,,,derived-era5-single-levels-daily-statistics,reanalysis,raw,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/derived-era5-single-levels-daily-statistics/daily/native/t2mx,CDS,True,True,1940,2024,scripts/download/derived-era5-single-levels-daily-statistics.py
t2mn,,,derived-era5-single-levels-daily-statistics,reanalysis,raw,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/derived-era5-single-levels-daily-statistics/daily/native/t2mn,CDS,True,True,1940,2024,scripts/download/derived-era5-single-levels-daily-statistics.py
e,,,derived-era5-single-levels-daily-statistics,reanalysis,raw,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/derived-era5-single-levels-daily-statistics/daily/native/e,CDS,True,True,1940,2024,scripts/download/derived-era5-single-levels-daily-statistics.py
tp,,,derived-era5-single-levels-daily-statistics,reanalysis,raw,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/derived-era5-single-levels-daily-statistics/daily/native/tp,CDS,True,True,1940,2024,scripts/download/derived-era5-single-levels-daily-statistics.py
d2m,,,derived-era5-single-levels-daily-statistics,reanalysis,raw,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/derived-era5-single-levels-daily-statistics/daily/native/d2m,CDS,True,True,1940,2024,scripts/download/derived-era5-single-levels-daily-statistics.py
sp,,,derived-era5-single-levels-daily-statistics,reanalysis,raw,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/derived-era5-single-levels-daily-statistics/daily/native/sp,CDS,True,True,1940,2024,scripts/download/derived-era5-single-levels-daily-statistics.py
msl,,,derived-era5-single-levels-daily-statistics,reanalysis,raw,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/derived-era5-single-levels-daily-statistics/daily/native/msl,CDS,True,False,1940,2021,scripts/download/derived-era5-single-levels-daily-statistics.py
ssrd,,,derived-era5-single-levels-daily-statistics,reanalysis,raw,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/derived-era5-single-levels-daily-statistics/daily/native/ssrd,CDS,True,True,1940,2024,scripts/download/derived-era5-single-levels-daily-statistics.py
eva,,,reanalysis-cerra-land,reanalysis,derived,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/derived/reanalysis-cerra-land/daily/native/eva,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-cerra-land/daily/native/eva,True,False,198501,202108,scripts/derived/reanalysis-cerra-land_accumulation.py
ssrd,,,reanalysis-cerra-land,reanalysis,derived,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/derived/reanalysis-cerra-land/daily/native/ssrd,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-cerra-land/daily/native/ssrd,True,False,198501,202012,scripts/derived/reanalysis-cerra-land_accumulation.py
strd,,,reanalysis-cerra-land,reanalysis,derived,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/derived/reanalysis-cerra-land/daily/native/strd,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-cerra-land/daily/native/strd,True,False,198501,202012,scripts/derived/reanalysis-cerra-land_accumulation.py
u10,,,reanalysis-era5-single-levels,reanalysis,raw,hourly,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-era5-single-levels/hourly/native/u10,CDS,True,True,1940,2024,scripts/download/reanalysis-era5-single-levels.py
v10,,,reanalysis-era5-single-levels,reanalysis,raw,hourly,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-era5-single-levels/hourly/native/v10,CDS,True,True,1940,2024,scripts/download/reanalysis-era5-single-levels.py
d2m,,,reanalysis-era5-single-levels,reanalysis,raw,hourly,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-era5-single-levels/hourly/native/d2m,CDS,True,True,1940,2020,scripts/derived/reanalysis-era5-single-levels.py
t2m,,,reanalysis-era5-single-levels,reanalysis,raw,hourly,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-era5-single-levels/hourly/native/t2m,CDS,True,True,2020,2020,scripts/derived/reanalysis-era5-single-levels.py
ssr,,,reanalysis-era5-single-levels,reanalysis,raw,hourly,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-era5-single-levels/hourly/native/ssr,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-era5-single-levels/hourly/native/ssr,True,True,2020,2020,scripts/download/reanalysis-era5-single-levels.py
str,,,reanalysis-era5-single-levels,reanalysis,raw,hourly,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-era5-single-levels/hourly/native/str,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-era5-single-levels/hourly/native/str,True,True,2020,2020,scripts/download/reanalysis-era5-single-levels.py
ssrd,,,reanalysis-era5-single-levels,reanalysis,raw,hourly,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-era5-single-levels/hourly/native/ssrd,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-era5-single-levels/hourly/native/ssrd,True,True,2020,2020,scripts/download/reanalysis-era5-single-levels.py
strd,,,reanalysis-era5-single-levels,reanalysis,raw,hourly,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-era5-single-levels/hourly/native/strd,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-era5-single-levels/hourly/native/strd,True,True,2020,2020,scripts/download/reanalysis-era5-single-levels.py
sla,,,satellite-sea-level-global,observation,raw,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/satellite-sea-level-global/daily/native/sla,CDS,True,True,19930101,20231231,scripts/download/satellite-sea-level-global.py
ice_conc,,,satellite-sea-ice-concentration,observations,derived,daily,gr025,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/derived/satellite-sea-ice-concentration/daily/gr025/ice_conc,CDS,False,False,,,scripts/download/satellite-sea-ice-concentration.py
ice_conc,,,satellite-sea-ice-concentration,observations,derived,daily,gr025,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/derived/satellite-sea-ice-concentration/daily/gr025/ice_conc,CDS,False,False,,,scripts/download/satellite-sea-ice-concentration.py
SDL,,,satellite-surface-radiation-budget,observations,raw,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/satellite-surface-radiation-budget/daily/native/SDL,CDS,True,True,197901,202506,scripts/download/satellite-surface-radiation-budget.py
SIS,,,satellite-surface-radiation-budget,observations,raw,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/satellite-surface-radiation-budget/daily/native/SIS,CDS,True,True,197901,202506,scripts/download/satellite-surface-radiation-budget.py
SNL,,,satellite-surface-radiation-budget,observations,raw,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/satellite-surface-radiation-budget/daily/native/SNL,CDS,True,True,197901,202506,scripts/download/satellite-surface-radiation-budget.py
SNS,,,satellite-surface-radiation-budget,observations,raw,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/satellite-surface-radiation-budget/daily/native/SNS,CDS,True,True,197901,202506,scripts/download/satellite-surface-radiation-budget.py
SRB,,,satellite-surface-radiation-budget,observations,raw,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/satellite-surface-radiation-budget/daily/native/SRB,CDS,True,True,197901,202506,scripts/download/satellite-surface-radiation-budget.py
t2m,,,reanalysis-cerra-single-levels,reanalysis,raw,hourly,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-cerra-single-levels/hourly/native/t2m,CDS,True,True,198801,201712,scripts/download/reanalysis-cerra-single-levels.py
r2,,,reanalysis-cerra-single-levels,reanalysis,raw,hourly,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-cerra-single-levels/hourly/native/r2,CDS,True,True,198801,201712,scripts/download/reanalysis-cerra-single-levels.py
si10,,,reanalysis-cerra-single-levels,reanalysis,raw,hourly,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-cerra-single-levels/hourly/native/si10,CDS,True,True,198801,201712,scripts/download/reanalysis-cerra-single-levels.py
ssrd,,,reanalysis-cerra-single-levels,reanalysis,raw,hourly,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-cerra-single-levels/hourly/native/ssrd,CDS,True,True,198801,201712,scripts/download/reanalysis-cerra-single-levels.py
tp,,,reanalysis-cerra-land,reanalysis,raw,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-cerra-land/daily/native/tp,CDS,True,True,198408,202507,scripts/download/reanalysis-cerra-land-single-levels.py
eva,,,reanalysis-cerra-land,reanalysis,raw,hourly,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-cerra-land/hourly/native/eva,CDS,True,True,198501,202507,scripts/download/reanalysis-cerra-land-single-levels.py
ssrd,,,reanalysis-cerra-land,reanalysis,raw,hourly,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-cerra-land/hourly/native/ssrd,CDS,True,False,198501,202308,scripts/download/reanalysis-cerra-land-single-levels.py
strd,,,reanalysis-cerra-land,reanalysis,raw,hourly,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-cerra-land/hourly/native/strd,CDS,True,False,198501,202012,scripts/download/reanalysis-cerra-land-single-levels.py
vsw,,,reanalysis-cerra-land,reanalysis,raw,hourly,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-cerra-land/hourly/native/vsw,CDS,True,False,198501,202012,scripts/download/reanalysis-cerra-land-single-levels.py
t2m,,,reanalysis-cerra-single-levels,reanalysis,derived,hourly,gr006,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/derived/reanalysis-cerra-single-levels/hourly/gr006/t2m,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-cerra-single-levels/hourly/native/t2m,True,True,198801,201712,scripts/interpolation/reanalysis-cerra-single-levels.py
r2,,,reanalysis-cerra-single-levels,reanalysis,derived,hourly,gr006,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/derived/reanalysis-cerra-single-levels/hourly/gr006/r2,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-cerra-single-levels/hourly/native/r2,True,True,198801,201712,scripts/interpolation/reanalysis-cerra-single-levels.py
si10,,,reanalysis-cerra-single-levels,reanalysis,derived,hourly,gr006,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/derived/reanalysis-cerra-single-levels/hourly/gr006/si10,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-cerra-single-levels/hourly/native/si10,True,True,198801,201712,scripts/interpolation/reanalysis-cerra-single-levels.py
ssrd,,,reanalysis-cerra-single-levels,reanalysis,derived,hourly,gr006,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/derived/reanalysis-cerra-single-levels/hourly/gr006/ssrd,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-cerra-single-levels/hourly/native/ssrd,True,True,198801,201712,scripts/interpolation/reanalysis-cerra-single-levels.py
tg,,,insitu-gridded-observations-europe,observation,raw,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/insitu-gridded-observations-europe/daily/native/tg,CDS,True,True,19502024,19502024,scripts/download/insitu-gridded-observations-europe.py
tx,,,insitu-gridded-observations-europe,observation,raw,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/insitu-gridded-observations-europe/daily/native/tx,CDS,True,True,19502024,19502024,scripts/download/insitu-gridded-observations-europe.py
tn,,,insitu-gridded-observations-europe,observation,raw,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/insitu-gridded-observations-europe/daily/native/tn,CDS,True,True,19502024,19502024,scripts/download/insitu-gridded-observations-europe.py
fg,,,insitu-gridded-observations-europe,observation,raw,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/insitu-gridded-observations-europe/daily/native/fg,CDS,True,True,19502024,19502024,scripts/download/insitu-gridded-observations-europe.py
rr,,,insitu-gridded-observations-europe,observation,raw,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/insitu-gridded-observations-europe/daily/native/rr,CDS,True,True,19502024,19502024,scripts/download/insitu-gridded-observations-europe.py
qq,,,insitu-gridded-observations-europe,observation,raw,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/insitu-gridded-observations-europe/daily/native/qq,CDS,True,True,19502024,19502024,scripts/download/insitu-gridded-observations-europe.py
utci,,,derived-utci-historical,reanalysis,raw,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/derived-utci-historical/daily/native/utci,CDS,False,False,,,scripts/download/derived-utci-historical.py
mrt,,,derived-utci-historical,reanalysis,raw,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/derived-utci-historical/daily/native/mrt,CDS,False,True,202001,20201231,scripts/download/derived-utci-historical.py
sfcwind,,,reanalysis-era5-single-levels,reanalysis,derived,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/derived/reanalysis-era5-single-levels/daily/native/sfcwind,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-era5-single-levels/daily/native/u10;/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-era5-single-levels/daily/native/v10,True,True,1940,2024,scripts/derived/reanalysis-era5-single-levels.py
sfcwind,,,reanalysis-era5-single-levels,reanalysis,derived,hourly,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/derived/reanalysis-era5-single-levels/hourly/native/sfcwind,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-era5-single-levels/hourly/native/u10;/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-era5-single-levels/hourly/native/v10,True,True,1940,2020,scripts/derived/reanalysis-era5-single-levels.py
hurs,,,reanalysis-era5-single-levels,reanalysis,derived,hourly,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/derived/reanalysis-era5-single-levels/hourly/native/hurs,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-era5-single-levels/hourly/native/d2m;/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-era5-single-levels/hourly/native/t2m,True,True,202001,202012,scripts/derived/reanalysis-era5-single-levels.py
sfcwind,,,reanalysis-era5-single-levels,reanalysis,derived,daily,gr100,/lustre/gmeteo/PTICLIMA/DATA/REANALYSIS/ERA5/data_derived/medcof_1degree/day/sfcwind/derived/reanalysis-era5-single-levels/daily/gr100/sfcwind,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-era5-single-levels/daily/native/u10;/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-era5-single-levels/daily/native/v10,False,False,,,scripts/interpolation/era5-single-levels-daily-Medcof.py
